gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,useless_drops,winner
4526,4464.5,4450.1,2405.63,2481.28,3,3,50,50,7,15,60,89,2613,3429,872,-1
4527,4464.5,6797.1,2419.51,2514.56,3,3,50,50,6,1,60,87,2728,3247,608,-1
4528,4464.5,6797.1,2416.36,2525.72,3,3,50,50,5,1,60,87,2687,3755,655,-1
4529,4186.4,6797.1,2407.0,2516.37,3,3,50,50,8,1,60,79,3998,4570,963,-1
4530,6371.1,6797.1,2463.45,2547.68,3,3,50,50,1,1,60,79,2213,3213,669,-1
4531,6371.1,6797.1,2479.45,2552.05,3,3,50,50,1,1,60,79,3097,4650,927,-1
4532,6371.1,6797.1,2484.78,2506.71,3,3,50,50,1,1,60,84,2545,3185,636,-1
4533,6371.1,6797.1,2489.08,2514.91,2,3,50,50,1,1,60,80,3249,3200,747,-1
4534,6371.1,6797.1,2479.17,2526.14,3,3,50,50,1,1,60,93,2178,3307,903,-1
4535,6371.1,6797.1,2474.59,2529.76,3,3,50,50,1,1,60,84,1728,2619,538,-1
4536,4186.4,6797.1,2457.73,2534.78,2,3,50,50,18,1,60,85,1952,2938,674,-1
4537,4186.4,6797.1,2450.28,2529.9,3,3,50,50,15,1,60,73,1759,2840,636,-1
4538,4186.4,6797.1,2444.06,2489.75,3,3,50,50,14,1,60,96,1940,2846,664,-1
4539,4186.4,6797.1,2445.28,2486.24,3,2,50,50,15,1,60,79,2288,2974,606,-1
4540,4186.4,6797.1,2441.13,2485.03,3,3,50,50,14,1,60,86,2939,3095,676,-1
4541,4186.4,6797.1,2439.04,2478.89,3,3,50,50,15,1,60,80,2225,2997,729,-1
4542,4186.4,6797.1,2434.58,2462.97,3,3,50,50,16,1,60,93,2614,3070,709,-1
4543,4186.4,6797.1,2433.12,2450.2,3,3,50,50,16,1,60,79,2985,3008,507,-1
4544,4186.4,6797.1,2436.18,2431.93,3,2,50,50,18,1,60,80,2987,2870,657,-1
4545,4186.4,4497.3,2447.36,2388.64,3,2,50,50,18,8,60,89,2404,2597,673,-1
4546,4186.4,4497.3,2470.47,2406.03,3,3,50,50,22,10,60,90,2061,2967,564,-1
4547,4186.4,4497.3,2463.42,2401.55,3,3,50,50,23,10,60,90,2538,2620,823,-1
4548,4186.4,3753.6,2449.38,2376.19,3,2,50,50,22,22,60,82,2648,2586,869,-1
4549,3844.8,3753.6,2447.01,2380.33,3,3,50,50,25,23,60,79,1007,2499,505,-1
4550,3844.8,3753.6,2438.37,2385.47,3,3,50,50,25,23,60,79,1905,2920,791,-1
4551,4112.9,3962.3,2447.92,2432.39,3,3,50,50,25,25,60,92,1528,2531,488,-1
4552,4112.9,3939.6,2440.81,2422.06,3,3,50,50,24,22,60,81,2497,3736,834,-1
4553,4112.9,3939.6,2455.64,2428.27,3,3,50,50,25,23,60,75,615,1988,272,-1
4554,4112.9,3939.6,2452.11,2433.73,3,3,50,50,25,25,60,73,1816,3470,849,-1
4555,4112.9,3753.6,2445.84,2432.03,3,3,50,50,25,25,60,82,2287,3031,740,-1
4556,4112.9,3753.6,2441.46,2419.55,3,3,50,50,25,25,60,86,1472,2651,674,-1
4557,4112.9,3753.6,2438.62,2424.94,3,2,50,50,23,25,60,81,885,2063,346,-1
4558,4112.9,3753.6,2441.94,2400.17,3,3,50,50,25,25,60,89,1882,2783,660,-1
4559,4112.9,3753.6,2444.47,2398.3,3,2,50,50,25,23,60,81,1125,2443,527,-1
4560,4112.9,3753.6,2431.4,2393.29,3,2,50,50,25,25,60,77,1856,2646,525,-1
4561,4112.9,3753.6,2429.72,2397.88,2,2,50,50,25,24,60,82,680,1835,373,-1
4562,4112.9,3753.6,2426.26,2407.17,2,2,50,50,23,25,60,76,916,2081,409,-1
4563,4112.9,3936.7,2444.4,2417.15,3,3,50,50,22,20,60,76,1424,3362,786,-1
4564,4112.9,3936.7,2437.7,2400.6,3,3,50,50,20,17,60,91,1941,3335,835,-1
4565,4112.9,3936.7,2421.55,2401.6,3,2,50,50,19,17,60,91,1431,2326,650,-1
4566,4112.9,4133.0,2413.66,2402.34,3,3,50,50,15,14,60,76,2179,3310,801,-1
4567,3905.9,4133.0,2377.97,2386.16,3,3,50,50,18,14,60,76,2475,3176,953,-1
4568,4653.4,4133.0,2392.73,2380.36,3,3,50,50,6,13,60,85,2300,3315,688,-1
4569,4653.4,4133.0,2382.02,2394.55,3,3,50,50,6,17,60,91,2549,3207,802,-1
4570,4653.4,4133.0,2395.17,2393.59,3,2,50,50,6,15,60,86,1064,1995,682,-1
4571,4653.4,3936.7,2389.29,2391.97,2,3,50,50,5,20,60,83,1933,2646,903,-1
4572,4653.4,3972.3,2410.44,2402.28,2,3,50,50,5,23,60,87,885,2598,1010,-1
4573,4610.1,3972.3,2387.92,2392.9,2,3,50,50,6,22,60,78,868,1910,783,-1
4574,4610.1,3972.3,2381.86,2398.96,3,2,50,50,6,20,60,87,1018,2432,935,-1
4575,4610.1,4190.0,2387.83,2410.68,2,3,50,50,5,17,60,74,533,1971,533,-1
4576,4610.1,4190.0,2392.97,2401.77,3,2,50,50,6,17,60,86,1602,3042,960,-1
4577,4610.1,4190.0,2403.25,2398.1,3,3,50,50,7,16,60,79,1471,2864,687,-1
