gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,winner
239,3175.0,3225.0,186.92,185.48,3,3,50,50,-1
240,2275.7,3125.7,173.37,183.76,2,3,50,50,-1
241,2372.1,3131.8,178.2,179.29,3,3,50,50,-1
242,3132.9,3126.6,178.58,181.26,3,3,50,50,-1
243,3128.2,3182.7,181.38,180.41,3,3,50,50,-1
244,3126.6,3126.6,178.82,180.84,3,3,50,50,-1
245,3229.9,3179.9,189.41,182.8,3,3,50,50,-1
246,3121.6,3229.3,182.09,176.76,3,3,50,50,-1
247,3134.2,3129.4,189.15,179.6,3,3,50,50,-1
248,3173.6,3173.6,180.63,192.69,3,3,50,50,-1
249,3235.5,3224.8,186.91,185.94,3,3,50,50,-1
250,3229.9,2379.9,188.6,176.15,3,3,50,50,-1
251,3182.5,3244.6,190.7,192.18,3,3,50,50,-1
252,3130.5,2380.5,181.32,180.97,3,3,50,50,-1
253,2286.0,2382.0,177.54,177.09,3,3,50,50,-1
254,2485.4,3144.8,176.54,184.79,3,3,50,50,-1
255,2381.4,2481.4,175.08,179.87,2,2,50,50,-1
256,2393.9,3139.8,178.26,180.21,3,3,50,50,-1
257,3127.1,2377.1,179.58,172.03,3,3,50,50,-1
258,2282.5,3232.5,174.84,188.87,3,3,50,50,-1
259,3185.7,2335.7,192.46,176.89,3,2,50,50,-1
260,2498.1,3150.0,170.13,175.32,2,3,50,50,-1
261,2488.6,2388.6,179.51,175.14,3,3,50,50,-1
262,3139.5,3239.5,182.36,185.78,3,3,50,50,-1
263,3345.9,3238.9,196.21,184.51,3,3,50,50,-1
264,2487.8,3137.8,172.08,180.42,2,3,50,50,-1
265,3133.9,3283.9,181.77,183.54,3,3,50,50,-1
266,3148.6,3237.0,184.45,179.77,3,3,50,50,-1
267,3138.5,3148.4,182.13,183.77,3,3,50,50,-1
268,3126.6,2376.6,183.82,176.73,3,2,50,50,-1
269,3134.7,2334.7,182.72,169.04,3,3,50,50,-1
270,2390.8,2393.9,171.92,177.56,2,2,50,50,-1
271,3438.2,3188.2,193.92,182.88,3,3,50,50,-1
272,2387.3,2398.0,178.83,178.12,2,3,50,50,-1
273,3136.6,2386.6,177.91,177.94,3,2,50,50,-1
274,2288.9,2388.9,168.31,179.31,2,2,50,50,-1
275,2332.9,3182.9,167.12,184.47,3,3,50,50,-1
276,3249.0,3135.4,172.35,179.67,3,3,50,50,-1
277,3136.8,2489.3,176.76,176.58,3,2,50,50,-1
278,3249.4,3186.9,179.82,182.44,3,3,50,50,-1
279,3228.1,3128.1,181.57,172.81,3,3,50,50,-1
280,3132.5,2332.5,175.51,165.76,3,2,50,50,-1
281,3237.3,2288.1,179.56,163.44,3,2,50,50,-1
282,2382.1,2378.7,172.28,173.93,2,3,50,50,-1
283,2478.7,3137.7,158.11,173.68,2,3,50,50,-1
284,3238.2,3233.9,179.44,183.58,3,3,50,50,-1
285,2396.4,2335.0,178.19,171.92,3,2,50,50,-1
286,2387.0,3237.0,170.37,186.44,2,3,50,50,-1
287,3136.1,3136.1,182.59,183.01,3,3,50,50,-1
288,3138.7,3231.0,164.73,189.23,3,3,50,50,-1
289,2399.4,2394.3,172.42,177.27,3,3,50,50,-1
290,3138.1,3139.1,184.32,181.23,3,3,50,50,-1
291,3190.2,3197.3,188.72,181.25,3,3,50,50,-1
292,3230.5,3189.0,181.0,180.41,3,3,50,50,-1
293,2478.0,2378.0,177.85,176.45,2,2,50,50,-1
294,3193.9,3128.6,180.38,181.86,3,3,50,50,-1
295,3382.8,2482.8,182.69,174.43,3,2,50,50,-1
296,2386.7,3183.3,180.26,192.94,3,3,50,50,-1
297,3230.4,3230.4,190.52,185.47,3,3,50,50,-1
298,3137.8,2330.3,178.43,174.67,3,2,50,50,-1
299,3127.6,2387.8,184.37,177.18,3,3,50,50,-1
300,3171.8,3171.8,181.04,180.34,3,3,50,50,-1
301,3180.5,2399.6,181.1,178.7,3,2,50,50,-1
302,2423.8,2373.8,178.43,175.71,2,2,50,50,-1
303,3139.6,3243.9,179.99,192.93,3,3,50,50,-1
304,2381.9,3140.2,179.02,181.8,2,3,50,50,-1
305,2376.1,3137.0,179.13,182.42,2,3,50,50,-1
306,2483.2,3294.4,182.37,185.65,2,3,50,50,-1
307,3187.6,2395.0,180.7,179.15,3,3,50,50,-1
308,2370.1,2320.7,172.6,173.32,2,2,50,50,-1
309,2482.5,2389.5,173.05,175.92,3,2,50,50,-1
310,2388.0,2334.1,177.58,172.15,3,3,50,50,-1
311,2391.9,2382.9,173.65,175.03,2,2,50,50,-1
312,3137.2,2337.2,167.26,166.53,3,2,50,50,-1
313,2384.1,3134.1,166.71,181.96,2,3,50,50,-1
314,3188.7,2381.3,167.85,174.89,3,2,50,50,-1
315,2487.2,2387.2,157.47,167.75,2,2,50,50,-1
316,2377.0,3127.5,172.31,180.18,3,3,50,50,-1
317,2385.3,2394.8,169.89,172.49,3,2,50,50,-1
318,3245.0,3143.9,176.1,177.5,3,3,50,50,-1
319,3237.0,3137.0,170.93,171.34,3,3,50,50,-1
320,3337.7,3235.8,182.82,177.61,3,3,50,50,-1
321,2300.0,2391.7,171.66,179.03,2,2,50,50,-1
322,3131.6,2479.5,174.46,173.85,3,2,50,50,-1
323,2392.5,2483.8,174.93,174.8,2,2,50,50,-1
324,3150.0,3225.4,182.98,177.94,3,3,50,50,-1
325,3129.5,3130.1,177.17,181.45,3,3,50,50,-1
326,3227.9,2400.0,181.93,177.97,3,3,50,50,-1
327,2300.0,2380.4,171.03,176.46,2,2,50,50,-1
328,3142.0,3133.6,179.11,172.4,3,3,50,50,-1
329,2484.5,2488.3,175.87,179.34,2,2,50,50,-1
330,3179.9,3244.4,183.5,188.53,3,3,50,50,-1
331,3230.3,2380.5,182.31,177.73,3,2,50,50,-1
332,3133.6,2384.2,182.72,181.34,3,3,50,50,-1
333,3145.8,3284.1,185.45,184.09,3,3,50,50,-1
334,3133.3,2383.3,180.8,176.48,3,2,50,50,-1
335,2426.2,2579.3,173.53,173.28,2,2,50,50,-1
336,3276.3,3188.5,183.71,183.39,3,3,50,50,-1
337,2483.3,3150.0,176.08,177.9,2,3,50,50,-1
338,2385.6,2497.8,174.72,178.88,2,2,50,50,-1
339,3133.9,3193.7,176.84,179.44,3,3,50,50,-1
340,2588.4,3148.1,178.93,177.14,2,3,50,50,-1
341,2287.3,2387.3,166.02,173.83,2,2,50,50,-1
342,2387.2,2487.2,175.98,173.48,2,2,50,50,-1
343,2388.5,2388.5,172.76,179.41,2,2,50,50,-1
344,2487.2,2487.2,165.06,171.4,2,2,50,50,-1
345,3288.9,2488.9,187.51,174.71,3,2,50,50,-1
346,3137.6,2437.6,172.49,172.68,3,2,50,50,-1
347,2389.2,2389.2,176.98,169.54,2,2,50,50,-1
348,2394.3,2344.3,167.16,157.14,2,2,50,50,-1
349,2487.2,2387.2,176.6,167.99,2,2,50,50,-1
350,2486.9,2386.9,159.19,171.38,2,2,50,50,-1
351,2394.0,2237.7,163.49,154.65,2,2,50,50,-1
352,2487.8,2487.8,165.83,176.87,2,2,50,50,-1
353,2394.7,2437.1,158.49,167.42,2,2,50,50,-1
354,2488.0,2389.5,178.71,172.81,2,2,50,50,-1
355,2387.5,2287.5,164.29,168.25,2,2,50,50,-1
356,2337.6,3137.6,171.66,162.67,3,3,50,50,-1
357,2387.4,2587.4,169.6,179.87,2,2,50,50,-1
358,2493.5,2399.9,173.89,165.48,2,2,50,50,-1
359,2395.2,2346.8,180.31,169.96,2,2,50,50,-1
