gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,winner
1716,4142.0,4422.6,509.63,520.54,3,3,50,50,3,3,-1
1717,4449.9,4134.5,521.82,537.66,3,3,50,50,3,5,-1
1718,4349.7,3695.4,521.56,478.09,3,3,50,50,4,2,-1
1719,3638.3,3189.9,459.09,466.26,3,3,50,50,1,10,-1
1720,3920.7,3284.3,463.56,450.0,3,3,50,50,1,6,-1
1721,4149.1,4461.0,495.64,484.09,3,3,50,50,2,2,-1
1722,3836.2,3727.3,478.28,493.38,3,3,50,50,2,3,-1
1723,2467.6,4000.5,454.98,489.8,3,3,50,50,10,3,-1
1724,3687.2,4419.4,470.11,481.25,3,3,50,50,2,2,-1
1725,3656.8,4378.8,475.73,505.34,3,3,50,50,2,3,-1
1726,3807.0,3376.0,476.28,455.11,3,3,50,50,2,2,-1
1727,5434.2,4447.8,564.27,521.09,3,3,50,50,2,3,-1
1728,4538.5,3859.0,546.59,488.3,3,3,50,50,5,3,-1
1729,3997.5,3868.7,470.42,502.49,3,3,50,50,1,4,-1
1730,4358.5,2486.2,472.63,445.85,3,3,50,50,1,10,-1
1731,2474.3,2476.5,450.78,461.28,2,2,50,50,10,10,-1
1732,3646.1,2452.1,485.74,449.78,3,2,50,50,3,10,-1
1733,3896.5,3617.6,482.37,459.34,3,3,50,50,2,1,-1
1734,2692.0,2469.2,444.21,453.18,3,3,50,50,10,10,-1
1735,3917.5,2341.5,464.87,441.62,3,3,50,50,1,10,-1
1736,3779.9,2427.8,484.41,450.71,3,3,50,50,3,10,-1
1737,3229.0,4162.9,457.48,473.21,3,3,50,50,10,1,-1
1738,4124.7,3992.5,471.31,485.02,3,3,50,50,1,3,-1
1739,3645.5,3389.0,479.54,493.69,3,3,50,50,2,8,-1
1740,3178.4,3427.5,451.59,473.79,3,3,50,50,10,3,-1
1741,3782.0,2519.8,481.91,452.81,3,3,50,50,2,10,-1
1742,3298.7,3335.1,454.86,457.12,3,3,50,50,6,4,-1
1743,3644.1,3366.9,462.62,452.82,3,3,50,50,1,2,-1
1744,4209.4,3869.8,484.1,477.63,3,3,50,50,3,2,-1
1745,3832.4,3499.6,468.5,466.6,3,3,50,50,1,1,-1
1746,4535.0,3423.8,486.7,460.57,3,3,50,50,1,1,-1
1747,4018.7,3844.4,499.53,490.68,3,3,50,50,3,3,-1
1748,3725.6,3532.2,494.96,479.11,3,3,50,50,3,2,-1
1749,2423.6,3535.7,454.16,469.48,3,3,50,50,10,1,-1
1750,4281.8,3234.5,502.72,460.39,3,3,50,50,3,10,-1
1751,4125.9,3476.5,504.91,464.64,3,3,50,50,3,2,-1
