gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,unuseful_drops,winner
4589,3586.2,3518.2,2337.51,2364.2,3,3,50,50,10,19,60,83,172,102,2440,-1
4590,3586.2,3518.2,2329.7,2358.49,2,2,50,50,9,18,60,87,236,0,2135,-1
4591,3586.2,3518.2,2324.86,2339.5,3,3,50,50,9,15,60,83,212,71,2622,-1
4592,3586.2,3518.2,2325.09,2337.25,3,3,50,50,11,15,60,85,209,45,2316,-1
4593,3586.2,3518.2,2325.83,2323.66,2,2,50,50,10,12,60,88,220,0,2461,-1
4594,3586.2,3518.2,2315.39,2325.36,3,3,50,50,9,13,60,95,274,69,2338,-1
4595,3586.2,3518.2,2318.61,2324.29,3,2,50,50,10,13,60,82,311,0,2227,-1
4596,3586.2,3518.2,2320.43,2321.42,3,2,50,50,10,13,60,78,169,44,2227,-1
4597,3586.2,3581.7,2331.98,2327.0,3,3,50,50,11,13,60,90,218,61,2175,-1
4598,3586.2,3581.7,2328.99,2325.46,2,2,50,50,11,13,60,81,199,0,2171,-1
4599,3586.2,3518.2,2322.59,2320.43,2,3,50,50,9,13,60,88,247,45,2334,-1
4600,3586.2,3518.2,2319.09,2323.4,3,3,50,50,8,13,60,85,221,52,2606,-1
4601,3586.2,3498.6,2320.81,2324.7,3,3,50,50,8,15,60,89,240,29,2262,-1
4602,3586.2,3498.6,2324.03,2336.55,3,3,50,50,8,18,60,89,369,98,2866,-1
4603,3586.2,3498.6,2342.4,2337.14,3,3,50,50,13,17,60,87,372,115,2192,-1
4604,3586.2,3498.6,2352.4,2360.96,3,3,50,50,16,23,60,99,208,127,2318,-1
4605,3586.2,3498.6,2341.77,2355.46,3,3,50,50,14,22,60,92,317,20,2191,-1
4606,3586.2,3498.6,2341.15,2366.6,3,3,50,50,14,25,60,87,273,69,2190,-1
4607,3586.2,3473.6,2345.3,2352.88,3,3,50,50,15,25,60,88,307,37,2585,-1
4608,3586.2,3473.6,2346.74,2351.35,3,3,50,50,17,25,60,88,289,61,2549,-1
4609,3586.2,3473.6,2352.93,2355.11,3,3,50,50,19,25,60,80,800,13,2957,-1
4610,3586.2,3473.6,2349.52,2356.03,3,3,50,50,18,25,60,93,217,55,2851,-1
4611,3586.2,3473.6,2362.55,2362.72,3,3,50,50,19,25,60,95,253,93,2877,-1
4612,3586.2,3484.4,2341.01,2364.43,3,3,50,50,16,25,60,78,503,181,3243,-1
4613,3586.2,3484.4,2343.21,2355.17,3,3,50,50,16,24,60,83,293,46,2770,-1
4614,3586.2,3484.4,2347.23,2347.83,2,2,50,50,16,22,60,87,338,0,3368,-1
4615,3586.2,3484.4,2346.3,2339.84,3,3,50,50,16,22,60,92,277,120,2551,-1
4616,3586.2,3484.4,2340.54,2329.67,3,3,50,50,16,22,60,86,288,13,2486,-1
4617,3586.2,3484.4,2337.9,2330.66,3,3,50,50,14,22,60,81,324,26,2180,-1
4618,3586.2,3457.9,2345.3,2327.43,3,3,50,50,15,25,60,81,480,46,3359,-1
4619,3586.2,3457.9,2336.76,2323.98,2,2,50,50,14,25,60,85,225,0,2346,-1
4620,3586.2,3586.9,2333.24,2331.59,3,3,50,50,13,13,60,92,170,131,2327,-1
4621,3642.4,3586.9,2346.67,2313.76,3,3,50,50,15,12,60,83,823,101,2781,-1
4622,3642.4,3586.9,2336.32,2324.86,3,3,50,50,13,13,60,81,210,4,1910,-1
4623,3642.4,3586.9,2346.64,2329.71,3,3,50,50,16,15,60,82,435,91,1962,-1
4624,3642.4,3586.9,2341.12,2320.95,3,2,50,50,16,14,60,88,965,43,2519,-1
4625,3642.4,3586.9,2340.8,2324.86,3,3,50,50,16,13,60,70,577,1,1949,-1
4626,3642.4,3586.9,2345.62,2325.72,3,3,50,50,17,14,60,93,314,52,2289,-1
4627,3642.4,3586.9,2362.21,2336.21,3,3,50,50,20,17,60,91,213,91,1704,-1
4628,3642.4,3455.9,2370.18,2342.12,3,3,50,50,23,25,60,94,307,59,1850,-1
4629,3642.4,3455.9,2364.69,2333.66,3,3,50,50,23,25,60,84,593,78,2142,-1
4630,3642.4,3455.9,2363.07,2347.84,3,3,50,50,22,25,60,86,173,29,1792,-1
4631,3586.2,3455.9,2359.47,2338.65,3,2,50,50,21,25,60,83,295,3,1889,-1
4632,3586.2,3430.6,2368.57,2328.85,3,3,50,50,22,25,60,83,306,11,1960,-1
4633,3586.2,3430.6,2373.86,2332.79,3,3,50,50,23,25,60,82,281,15,1487,-1
4634,3586.2,3430.6,2373.87,2326.97,3,3,50,50,23,25,60,90,260,43,1795,-1
4635,3586.2,3430.6,2364.29,2320.73,3,3,50,50,21,25,60,82,158,29,1556,-1
4636,3586.2,3430.6,2365.53,2329.54,3,3,50,50,20,25,60,87,220,66,1914,-1
4637,3586.2,3430.6,2359.31,2328.46,2,2,50,50,19,25,60,79,1554,0,2329,-1
4638,3586.2,3430.6,2361.78,2325.99,3,3,50,50,20,25,60,87,358,82,2039,-1
4639,3586.2,3430.6,2370.33,2311.36,3,3,50,50,22,25,60,81,279,45,1603,-1
4640,3586.2,3430.6,2360.62,2301.77,3,3,50,50,20,25,60,88,376,23,1911,-1
4641,3586.2,3430.6,2355.73,2304.74,3,3,50,50,18,25,60,85,197,27,1742,-1
4642,3586.2,3430.6,2354.83,2311.65,3,3,50,50,19,25,60,87,667,35,1613,-1
4643,3586.2,3391.3,2358.61,2311.84,3,3,50,50,20,25,60,90,424,56,1516,-1
4644,3586.2,3391.3,2378.84,2311.35,3,3,50,50,24,25,60,85,171,21,1338,-1
4645,3586.2,3391.3,2381.58,2319.78,3,3,50,50,25,25,60,86,160,2,1256,-1
4646,3586.2,3391.3,2390.71,2332.38,3,3,50,50,25,25,60,85,323,14,1175,-1
4647,3586.2,3391.3,2390.55,2337.45,3,3,50,50,25,25,60,81,115,4,1401,-1
4648,3493.6,3391.3,2379.24,2332.59,3,3,50,50,25,25,60,89,324,3,1274,-1
4649,3493.6,3391.3,2374.34,2325.74,3,2,50,50,25,25,60,89,652,41,1620,-1
4650,3493.6,3391.3,2360.02,2333.42,3,3,50,50,23,25,60,90,152,27,1283,-1
4651,3493.6,3391.3,2358.61,2337.93,2,3,50,50,22,25,60,91,188,16,1325,-1
4652,3493.6,3491.4,2374.91,2336.75,3,3,50,50,25,17,60,95,158,44,1217,-1
4653,3464.4,3491.4,2364.11,2327.19,3,3,50,50,25,15,60,84,237,31,1739,-1
4654,3464.4,3491.4,2360.4,2314.07,3,3,50,50,25,11,60,93,307,29,1645,-1
4655,3464.4,3491.4,2359.45,2318.8,3,3,50,27,25,12,37,67,76,5,1001,-1
4656,3464.4,3491.4,2362.15,2300.67,3,3,50,50,25,9,60,93,183,53,1333,-1
4657,3464.4,3491.4,2360.85,2301.29,2,3,50,50,25,10,60,92,301,1,1670,-1
4658,3464.4,3491.4,2361.0,2313.34,3,3,50,50,25,12,60,90,424,107,1612,-1
4659,3466.4,3491.4,2354.78,2317.33,3,3,50,50,25,13,60,87,399,102,1906,-1
4660,3466.4,3491.4,2368.64,2319.06,3,3,50,50,25,13,60,81,501,47,1782,-1
4661,3466.4,3491.4,2374.91,2320.38,3,3,50,50,25,13,60,85,352,78,1626,-1
4662,3466.4,3491.4,2362.82,2325.22,3,3,50,50,25,14,60,87,416,32,2022,-1
4663,3466.4,3491.4,2356.97,2322.29,2,2,50,50,25,13,60,88,427,0,1743,-1
4664,3466.4,3356.3,2356.53,2323.47,3,3,50,50,25,25,60,87,394,120,1843,-1
4665,3466.4,3356.3,2343.06,2320.97,3,3,50,50,25,25,60,88,474,35,2229,-1
4666,3477.7,3356.3,2358.11,2321.95,3,3,50,50,25,25,60,92,506,83,1935,-1
4667,3521.9,3411.2,2353.59,2331.68,3,3,50,50,18,25,60,91,413,160,2304,-1
4668,3521.9,3411.2,2364.4,2331.55,3,3,50,50,22,25,60,87,237,13,1713,-1
4669,3521.9,3376.2,2359.66,2324.83,3,2,50,50,21,25,60,82,309,7,1361,-1
4670,3521.9,3440.0,2346.04,2330.58,3,3,50,50,17,25,60,90,51,11,934,-1
4671,3521.9,3575.0,2346.51,2341.59,3,3,50,50,19,15,60,82,978,64,1569,-1
4672,3521.9,3575.0,2349.81,2356.3,3,3,50,50,20,18,60,98,256,93,2039,-1
4673,3521.9,3575.0,2359.88,2354.23,3,3,50,50,22,17,60,89,318,113,1940,-1
4674,3521.9,3440.0,2357.4,2356.59,3,3,50,50,22,25,60,83,317,141,1660,-1
4675,3521.9,3440.0,2357.76,2346.59,3,2,50,50,22,25,60,86,358,12,1712,-1
4676,3521.9,3440.0,2371.55,2353.86,3,3,50,50,24,25,60,88,348,26,1709,-1
4677,3521.9,3418.7,2363.17,2345.08,2,2,50,50,23,25,60,87,164,0,1219,-1
4678,3521.9,3418.7,2373.84,2349.37,3,3,50,50,25,25,60,82,325,55,1544,-1
4679,3521.9,3418.7,2365.28,2352.9,3,3,50,50,22,25,60,90,288,31,1630,-1
4680,3521.9,3427.3,2357.02,2348.11,3,3,50,50,20,25,60,85,308,18,1546,-1
4681,3521.9,3443.0,2354.99,2356.62,3,3,50,50,20,25,60,91,264,23,1529,-1
4682,3559.5,3443.0,2338.82,2357.85,3,3,50,50,16,25,60,89,473,77,2162,-1
4683,3559.5,3443.0,2337.33,2350.86,2,3,50,50,16,25,60,83,397,9,2047,-1
4684,3559.5,3443.0,2337.98,2347.33,3,3,50,50,16,25,60,81,282,39,1693,-1
4685,3559.5,3443.0,2342.56,2366.33,3,3,50,50,17,25,60,84,376,47,1724,-1
4686,3559.5,3443.0,2351.05,2363.43,3,3,50,50,18,25,60,91,252,26,1726,-1
4687,3559.5,3443.0,2366.33,2362.89,3,3,50,50,21,25,60,81,248,24,1578,-1
4688,3559.5,3443.0,2372.28,2350.49,3,3,50,50,23,25,60,84,146,37,1264,-1
4689,3559.5,3443.0,2369.13,2343.02,3,3,50,50,23,25,60,81,78,56,919,-1
4690,3559.5,3443.0,2373.66,2319.16,3,3,50,50,23,25,60,75,19,25,492,-1
4691,3559.5,3443.0,2359.77,2309.13,2,2,50,50,19,25,60,71,18,0,722,-1
4692,3559.5,3443.0,2349.89,2323.83,3,3,50,50,17,25,60,85,50,20,729,-1
4693,3559.5,3443.0,2356.08,2323.83,3,3,50,50,18,25,60,81,31,18,697,-1
4694,3559.5,3443.0,2353.1,2326.91,3,3,50,50,18,25,60,78,30,11,750,-1
4695,3559.5,3443.0,2341.04,2304.82,2,2,41,44,19,25,45,54,3,0,338,-1
4696,3559.5,3443.0,2338.64,2293.46,3,3,50,50,18,25,60,74,20,8,391,-1
4697,3559.5,3443.0,2336.75,2294.57,3,3,50,50,18,25,60,82,24,14,548,-1
4698,3559.5,3443.0,2342.62,2283.56,3,2,50,50,18,23,60,74,42,8,791,-1
4699,3559.5,3443.0,2341.49,2271.02,2,2,50,50,19,20,60,73,14,0,608,-1
4700,3559.5,3443.0,2317.77,2259.65,3,2,50,50,15,22,60,71,25,7,527,-1
