gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,winner
4050,9025.4,10519.55,2393.54,2623.62,3,3,50,50,2,4,60,85,490,150,0,1835,543,10360,4218,-1
4100,9902.0,9618.1,2382.7,2322.62,2,3,50,50,1,2,60,85,590,126,0,742,926,6116,6545,-1
4150,5174.7,9425.8,772.86,1346.92,3,3,50,50,25,1,60,79,381,73,0,658,382,6082,2009,-1
4200,10149.9,8203.9,540.04,493.27,2,3,50,50,1,2,60,77,392,214,0,2131,548,8421,14681,-1
4250,9850.5,9815.9,619.59,1075.36,3,2,50,50,2,1,60,75,452,348,0,2253,496,7466,6868,-1
4300,9296.9,9730.0,794.14,185.29,2,2,50,50,2,2,60,76,586,500,0,1463,238,7411,13165,-1
4350,9910.45,10354.3,1575.51,1349.92,2,2,50,50,1,1,60,77,343,235,0,1261,422,6170,3116,-1
4400,5392.0,9788.4,3886.45,3654.78,3,3,50,50,25,1,60,76,431,331,0,2271,35,4388,2673,-1
4450,11146.8,9560.8,4340.92,4265.81,2,2,50,50,1,1,60,76,862,284,0,2653,87,5516,1498,-1
4500,9922.95,10544.25,4504.69,4689.08,2,3,50,50,1,3,60,77,2624,337,0,10496,495,9710,329,-1
4550,12768.1,16204.8,5063.99,5073.79,3,3,50,50,4,1,60,78,4596,31,0,6732,312,3864,167,-1
4600,13649.3,15090.9,5101.92,4864.15,3,3,50,50,2,1,60,83,7367,12,0,10180,741,4393,330,-1
4650,16561.05,11548.8,4754.11,4794.18,2,2,50,50,1,3,60,79,1625,58,0,9102,616,5464,139,-1
4700,16561.05,17043.9,5516.3,5366.74,3,3,50,50,1,1,60,83,9553,89,0,9700,805,7245,326,-1
4750,14088.05,14753.45,5361.67,5423.74,3,3,50,50,1,2,60,83,8322,80,0,9621,348,6595,139,-1
4800,13095.85,13471.55,5273.7,5435.49,3,3,50,50,4,5,60,82,11045,94,0,6704,287,5823,119,-1
4850,17109.0,16691.6,5548.74,5566.36,3,3,50,50,1,1,60,84,16225,112,0,10536,487,10643,357,-1
4900,15779.5,17179.55,5374.37,5072.32,3,3,50,50,1,1,60,81,11204,60,0,14986,174,10517,901,-1
4950,15873.3,13630.6,4991.85,5161.14,2,2,50,50,1,2,60,78,4780,72,0,9840,152,16395,751,-1
