gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,winner
174,5882.4,5137.0,4103.77,3933.97,3,3,-1
175,5991.1,4877.3,4135.18,3864.76,4,3,-1
176,5166.6,4966.3,4229.62,4055.6,3,3,-1
177,5877.4,5187.0,4159.15,4091.45,4,3,-1
178,5016.8,5451.3,3705.62,3667.64,3,3,-1
179,6322.1,5459.8,4467.86,4030.66,4,4,-1
180,6052.4,5172.3,4519.84,4040.66,4,3,-1
181,5581.9,5451.4,4340.35,3916.48,3,3,-1
182,6406.0,5494.6,4278.52,4021.03,4,4,-1
183,5567.3,5501.6,4389.49,3802.43,4,3,-1
184,5674.8,5402.2,4457.16,3854.74,4,3,-1
185,5475.9,5267.3,4226.33,3696.93,3,3,-1
186,6751.4,6441.9,4312.78,3642.73,4,4,-1
187,5809.9,5103.7,4296.84,3730.92,4,4,-1
188,5206.9,5652.5,4207.96,3698.48,3,3,-1
189,5812.6,5367.6,4056.61,3541.3,4,3,-1
190,5136.9,5854.5,4061.12,3957.61,4,4,-1
191,5431.3,5580.1,4260.84,3837.62,3,3,-1
192,5735.3,5792.3,4388.23,3974.6,4,3,-1
193,4917.1,5385.1,3705.24,3337.62,3,4,-1
194,4860.1,4740.5,3819.37,3395.6,3,3,-1
195,5097.5,4890.5,3855.96,3590.94,3,3,-1
196,5197.8,4920.6,3827.61,3460.25,3,3,-1
197,4808.2,4605.2,3276.47,3079.47,3,3,-1
198,4064.5,4142.0,2937.14,3176.6,3,3,-1
199,4207.0,4207.8,3224.96,2905.06,3,3,-1
200,5257.2,5669.5,3967.07,3968.29,3,3,-1
201,5216.2,5414.5,3826.37,3286.8,3,3,-1
202,3993.8,3863.6,3033.73,2775.62,3,3,-1
203,3985.0,4199.8,3184.6,2966.9,3,3,-1
204,4516.8,4358.8,3369.66,3344.54,3,3,-1
205,5722.1,5360.9,3531.8,3572.56,4,4,-1
206,4654.9,4511.6,3365.38,3124.36,3,3,-1
207,5405.9,4565.9,3667.89,3192.36,4,3,-1
208,4892.6,5281.3,3841.84,3592.88,3,4,-1
209,4976.0,4761.5,3757.28,3367.43,3,3,-1
210,5926.8,5843.8,3903.04,3676.06,4,4,-1
211,4563.8,4071.0,3357.34,3159.28,3,3,-1
212,4732.6,4621.4,3299.52,3336.48,3,3,-1
213,5628.1,5048.8,3596.22,3459.51,3,4,-1
214,4802.0,5226.9,3584.87,3526.32,3,4,-1
215,4447.4,4322.8,3037.52,3155.04,3,3,-1
216,4384.0,4338.5,3509.86,3098.75,3,3,-1
217,5538.3,4744.2,4140.55,3826.79,4,3,-1
218,6059.4,5780.5,3860.59,3899.87,4,4,-1
219,5166.4,5162.4,3714.8,3460.87,4,4,-1
220,6420.5,4821.9,3458.43,3347.27,4,3,-1
221,5234.9,4816.8,3762.35,3690.79,4,3,-1
222,5139.3,4528.1,3287.89,3120.72,3,3,-1
223,4763.7,4164.9,3261.23,3050.33,3,3,-1
224,4791.6,4929.7,3499.88,3446.96,3,3,-1
225,5267.6,5062.2,3298.43,3365.1,4,4,-1
226,5542.2,5595.7,4059.48,3625.28,3,4,-1
227,4415.5,4392.0,3575.43,3134.28,3,3,-1
228,4672.3,5176.9,3429.03,3450.69,3,3,-1
229,6376.9,5691.5,4105.59,3735.58,4,4,-1
230,4655.6,4797.1,3238.63,3102.67,4,4,-1
231,5306.9,5142.0,3558.35,3468.29,3,3,-1
232,4607.3,4521.6,3177.23,2972.15,3,4,-1
233,5440.6,4516.7,3665.33,3234.95,3,3,-1
234,4509.9,4240.5,3127.63,3168.44,3,3,-1
235,4155.1,4112.7,3127.52,3160.48,3,3,-1
236,4770.6,4459.6,3392.8,3237.97,3,3,-1
237,5887.3,5618.8,3876.29,3793.44,4,4,-1
238,4418.2,4690.9,3525.0,3408.4,3,4,-1
239,3889.7,4082.7,2801.15,2964.05,3,3,-1
240,6007.2,4736.3,3596.07,3495.67,4,3,-1
241,4646.7,4675.9,3561.19,3480.91,3,3,-1
242,5025.9,5011.3,3921.62,3413.52,3,3,-1
243,5479.9,4478.9,3722.76,3469.93,4,3,-1
244,4719.2,4457.9,3299.59,3131.13,3,3,-1
245,4577.1,4329.0,3241.49,3387.32,3,3,-1
246,6192.8,5062.0,4323.19,3875.26,4,4,-1
247,4568.8,4297.4,3154.59,3255.28,3,3,-1
248,5336.9,4816.2,3937.35,3546.91,3,3,-1
249,5534.9,5282.3,4122.86,3933.16,3,4,-1
250,5321.5,4761.5,3655.77,3704.04,3,3,-1
251,5061.1,5142.0,4002.05,3946.93,3,4,-1
252,5465.8,4620.9,4007.56,3720.37,3,3,-1
253,6326.7,4727.2,3953.74,3831.0,4,3,-1
254,5892.5,4847.1,4029.61,3947.67,3,3,-1
255,4248.6,4973.0,3463.55,3259.26,3,4,-1
256,5488.5,4779.4,3867.01,3625.3,4,3,-1
257,4311.9,3994.8,3368.19,3168.73,3,3,-1
258,4344.1,4279.2,3530.58,3097.99,3,3,-1
259,6399.5,5110.3,4005.27,3925.93,4,3,-1
260,4404.9,4203.1,3332.98,3151.9,3,3,-1
261,4847.8,4075.3,3353.09,3258.04,3,3,-1
262,5587.3,5137.1,4199.66,3877.41,3,3,-1
263,5524.4,5106.3,4137.93,3918.42,3,3,-1
264,5987.0,5762.1,4285.67,3723.27,4,3,-1
