gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
4171,9841.0,9839.4,4582.05,4572.36,3,3,50,50,7,7,60,70,0,0,0,98,356,0,0,12040,-1
4172,9851.5,9839.4,4606.83,4596.27,3,3,50,50,8,8,60,74,0,0,0,28,362,0,0,12331,-1
4173,9952.9,9839.4,4631.68,4535.79,3,2,50,50,9,6,60,69,0,0,0,44,267,0,0,12731,-1
4174,9952.9,9839.4,4652.24,4536.39,2,3,50,50,9,6,60,67,0,0,0,23,192,0,0,12801,-1
4175,9952.9,9839.4,4593.62,4544.39,2,2,50,50,7,5,60,73,0,0,0,21,206,0,0,12139,-1
4176,9952.9,9839.4,4596.07,4557.19,2,2,50,50,7,5,60,63,0,0,0,30,379,0,0,12097,-1
4177,9952.9,9839.4,4598.8,4561.01,3,3,50,50,7,5,60,71,0,0,0,7,148,0,0,12231,-1
4178,9952.9,9846.6,4608.15,4602.71,3,3,50,50,7,7,60,70,0,0,0,16,201,0,0,12569,-1
4179,9952.9,9846.6,4612.97,4613.96,2,2,50,50,7,7,60,67,0,0,0,9,78,0,0,12202,-1
4180,9952.9,9846.6,4610.85,4599.54,2,3,50,50,7,6,60,69,0,0,0,17,191,0,0,12802,-1
4181,9952.9,9839.4,4615.76,4558.52,2,2,50,50,7,4,60,65,0,0,0,18,183,0,0,13259,-1
4182,9952.9,9839.4,4608.69,4565.6,2,2,50,50,6,4,60,68,0,0,0,19,197,0,0,12941,-1
4183,9952.9,9839.4,4602.2,4569.74,2,2,50,50,6,4,60,71,0,0,0,11,197,0,0,12540,-1
4184,9952.9,9839.4,4603.81,4603.61,3,3,50,50,6,6,60,76,0,0,0,9,141,0,0,12626,-1
4185,9952.9,9839.4,4592.21,4611.05,2,2,50,50,6,5,60,62,0,0,0,10,260,0,0,12064,-1
4186,9952.9,9839.4,4608.33,4618.79,3,2,50,50,6,5,60,70,0,0,0,13,276,0,0,12421,-1
4187,9952.9,9611.7,4626.13,4604.17,2,2,50,50,6,4,60,75,0,0,0,33,283,0,0,12477,-1
4188,9952.9,9805.4,4637.09,4607.91,3,3,50,50,6,4,60,67,0,0,0,16,91,0,0,12780,-1
4189,9952.9,9805.4,4635.57,4609.06,3,3,50,50,6,4,60,72,0,0,0,9,88,0,0,13207,-1
4190,9952.9,9805.4,4618.75,4588.4,2,2,50,50,6,3,60,65,0,0,0,7,99,0,0,12932,-1
4191,9952.9,9805.4,4624.13,4566.98,2,2,50,50,6,2,60,70,0,0,0,7,359,0,0,12006,-1
4192,9952.9,9805.4,4611.82,4605.53,3,3,50,50,6,4,60,66,0,0,0,25,336,0,0,12202,-1
4193,9952.9,9805.4,4616.46,4600.08,3,3,50,50,6,4,60,66,0,0,0,13,440,0,0,12969,-1
4194,9952.9,9805.4,4614.54,4579.36,3,3,50,50,7,3,60,74,0,0,0,5,329,0,0,13385,-1
4195,9851.5,9905.2,4569.77,4626.4,2,3,50,50,5,5,60,68,0,0,0,15,195,0,0,12983,-1
4196,9851.5,10005.2,4570.3,4660.89,3,3,50,50,5,7,60,67,0,0,0,13,241,0,0,12929,-1
4197,9608.5,10005.2,4526.61,4665.13,3,3,50,50,4,7,60,70,0,0,0,8,415,0,0,13275,-1
4198,9608.5,9905.3,4510.4,4629.05,2,2,50,50,3,6,60,69,0,0,0,4,259,0,0,13130,-1
4199,9608.5,9905.3,4494.39,4629.53,2,3,50,50,2,7,60,67,0,0,0,49,423,0,0,12838,-1
4200,9608.5,9905.3,4498.92,4609.03,2,2,50,50,2,6,60,68,0,0,0,5,390,0,0,13170,-1
4201,9883.0,9905.3,4584.65,4615.47,3,3,50,50,5,6,60,70,0,0,0,8,262,0,0,13036,-1
4202,9883.0,9905.3,4581.33,4605.17,2,2,50,50,5,6,60,73,0,0,0,10,328,0,0,12647,-1
4203,9883.0,9905.3,4544.8,4569.67,2,2,50,50,4,4,60,67,0,0,0,5,431,0,0,12214,-1
4204,10014.8,9905.3,4601.74,4546.68,3,2,50,50,6,3,60,69,0,0,0,29,250,0,0,13668,-1
4205,10014.8,9905.3,4604.0,4556.09,3,2,50,50,7,3,60,74,0,0,0,12,795,0,0,12598,-1
4206,10014.8,9905.3,4617.49,4556.98,3,2,50,50,8,3,60,67,0,0,0,11,512,0,0,13874,-1
4207,10014.8,9905.2,4636.75,4556.1,3,3,50,50,8,3,60,71,0,0,0,36,589,0,0,12870,-1
4208,10014.8,9952.8,4618.36,4571.23,2,3,50,50,7,4,60,71,0,0,0,20,493,0,0,12967,-1
4209,10014.8,9952.8,4631.85,4594.07,3,3,50,50,8,5,60,74,0,0,0,23,646,0,0,12738,-1
4210,10014.8,9952.8,4646.91,4585.52,3,2,50,50,9,5,60,74,0,0,0,24,723,0,0,13788,-1
4211,10014.8,9952.8,4626.95,4577.93,3,3,50,50,8,5,60,75,0,0,0,22,657,0,0,12648,-1
4212,10014.8,9952.8,4646.83,4676.36,3,3,50,50,9,10,60,81,1,0,0,96,775,18,0,12300,-1
4213,10014.8,9952.8,4663.05,4676.57,2,2,50,50,9,10,60,72,0,0,0,7,477,0,0,12825,-1
4214,10014.8,9905.2,4667.7,4650.9,2,2,50,50,9,9,60,70,0,0,0,7,484,0,0,12896,-1
4215,10014.8,9905.2,4688.86,4628.68,3,3,50,50,10,8,60,74,0,0,0,9,576,0,0,13540,-1
4216,10014.8,9905.2,4718.7,4608.63,3,3,50,50,12,8,60,76,0,0,0,21,715,0,0,11578,-1
4217,10014.8,9905.2,4709.41,4618.85,3,3,50,50,12,9,60,76,0,0,0,8,876,0,0,12968,-1
4218,10014.8,9905.2,4708.68,4607.26,3,3,50,50,12,9,60,72,0,0,0,24,847,0,0,12828,-1
4219,10014.8,9905.2,4673.81,4593.26,3,3,50,50,11,9,60,81,0,0,0,6,1239,0,0,11478,-1
4220,10014.8,9905.2,4627.66,4581.62,2,3,50,50,10,8,60,69,0,0,0,13,1025,0,0,11901,-1
4221,10014.8,9905.2,4630.99,4600.26,3,3,50,50,10,9,60,74,0,0,0,37,642,0,0,11569,-1
4222,10014.8,9905.2,4627.2,4539.17,2,2,50,50,10,7,60,75,0,0,0,14,1125,0,0,12282,-1
4223,10014.8,9905.2,4635.19,4511.72,3,2,50,50,11,5,60,73,0,0,0,45,754,0,0,12785,-1
4224,10014.8,9905.2,4694.59,4548.51,3,3,50,50,12,7,60,72,0,0,0,13,667,0,0,13512,-1
4225,10014.8,9905.2,4718.92,4566.21,3,3,50,50,13,8,60,72,0,0,0,20,536,0,0,13281,-1
4226,10014.8,9905.2,4714.76,4579.12,3,3,50,50,13,9,60,72,0,0,0,26,755,0,0,12972,-1
4227,10014.8,9905.2,4684.03,4576.12,2,2,50,50,13,9,60,68,0,0,0,18,730,0,0,12378,-1
4228,10014.8,9905.2,4753.36,4561.53,3,3,50,50,15,9,60,79,0,0,0,66,869,0,0,14149,-1
4229,10014.8,9905.2,4707.44,4533.62,2,2,50,50,13,8,60,71,0,0,0,19,679,0,0,13571,-1
4230,9972.9,9905.2,4710.28,4585.62,3,3,50,50,12,11,60,75,0,0,0,20,840,0,0,15343,-1
4231,9972.9,9905.2,4684.03,4577.51,2,2,50,50,11,10,60,70,0,0,0,19,554,0,0,14804,-1
4232,9972.9,9684.9,4756.35,4581.66,3,3,50,50,15,11,60,73,0,0,0,69,1052,0,0,14391,-1
4233,9972.9,9684.9,4772.91,4589.35,3,3,50,50,16,11,60,72,0,0,0,55,898,0,0,13957,-1
4234,9972.9,9684.9,4805.89,4643.18,3,3,50,50,18,13,60,72,0,0,0,43,1028,0,0,14441,-1
4235,9972.9,9684.9,4849.01,4665.15,3,3,50,50,21,14,60,75,0,0,0,75,1064,0,0,15697,-1
4236,9788.5,9684.9,4820.23,4657.25,3,3,50,50,20,14,60,77,0,0,0,35,933,0,0,14313,-1
4237,9788.5,9684.9,4809.68,4664.63,3,2,50,50,19,14,60,75,0,0,0,33,934,0,0,14234,-1
4238,9788.5,9684.9,4808.63,4650.57,3,3,50,50,19,14,60,71,0,0,0,38,718,0,0,14105,-1
4239,9788.5,9680.5,4773.97,4620.29,2,2,50,50,18,13,60,68,0,0,0,16,870,0,0,12252,-1
4240,9788.5,9680.5,4771.41,4638.11,3,3,50,50,18,13,60,71,0,0,0,30,481,0,0,15663,-1
4241,9788.5,9680.5,4744.5,4630.21,3,3,50,50,17,13,60,77,0,0,0,171,911,0,0,13350,-1
4242,9788.5,9680.5,4712.01,4611.22,2,2,50,50,15,12,60,69,0,0,0,28,858,0,0,16506,-1
4243,9788.5,9783.8,4689.65,4594.43,2,3,50,50,15,12,60,60,0,0,0,32,892,0,0,12916,-1
4244,10038.1,9969.4,4723.16,4623.59,3,3,50,50,16,13,60,60,0,0,0,94,717,0,0,13488,-1
4245,10038.1,9969.4,4677.21,4598.28,3,3,50,50,14,12,60,74,0,0,0,23,1118,0,0,13785,-1
4246,10038.1,9969.4,4705.24,4624.3,3,3,50,50,15,14,60,71,0,0,0,79,1271,0,0,13886,-1
4247,10038.1,9969.4,4733.77,4623.3,3,3,50,50,15,13,60,71,1,0,0,57,1111,11,0,15809,-1
4248,10038.1,9969.4,4758.92,4569.2,3,2,50,50,16,11,60,70,0,0,0,49,1209,0,0,13607,-1
4249,10038.1,10190.0,4677.61,4615.8,2,3,50,50,14,11,60,73,0,0,0,31,1044,0,0,14024,-1
4250,10038.1,10190.0,4736.29,4538.37,3,3,50,50,16,9,60,67,0,0,0,140,1170,0,0,12054,-1
4251,10038.1,10190.0,4749.13,4612.49,3,3,50,50,16,11,60,72,0,0,0,65,1074,0,0,14301,-1
4252,10038.1,10190.0,4731.4,4670.99,3,3,50,50,16,12,60,73,0,0,0,92,1177,0,0,13483,-1
4253,10038.1,10190.0,4749.1,4692.93,3,3,50,50,18,12,60,77,0,0,0,113,1169,0,0,14440,-1
4254,10038.1,10190.0,4805.51,4730.99,3,3,50,50,21,14,60,70,0,0,0,19,915,0,0,12934,-1
4255,10038.1,10190.0,4781.91,4721.82,3,3,50,50,19,13,60,65,0,0,0,21,799,0,0,13763,-1
4256,10038.1,10190.0,4751.79,4744.69,3,3,50,50,20,14,60,75,0,0,0,25,1169,0,0,12779,-1
4257,10038.1,9694.5,4695.25,4740.98,2,3,50,50,17,15,60,69,0,0,0,20,802,0,0,15174,-1
4258,10038.1,9680.5,4717.0,4710.3,3,3,50,50,18,13,60,70,0,0,0,27,634,0,0,13992,-1
4259,9995.7,9680.5,4644.83,4688.95,3,3,50,50,16,12,60,78,0,0,0,18,1425,0,0,12359,-1
4260,9995.7,9680.5,4688.34,4668.31,2,2,50,50,16,12,60,73,0,0,0,61,865,0,0,11811,-1
4261,9995.7,9847.9,4725.91,4659.9,3,3,50,50,18,11,60,72,0,0,0,11,741,0,0,12943,-1
4262,9922.1,9847.9,4641.38,4628.57,2,2,50,50,15,10,60,72,0,0,0,11,1680,0,0,10667,-1
4263,9922.1,9847.9,4681.38,4602.09,3,2,50,50,17,10,60,72,0,0,0,9,547,0,0,13903,-1
